search_content,search_engine,link_of_news,title,timestamp,media_name
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJur3QtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findias-tcs-125-million-hit-115115682.html%3ffr%3dsycsrp_catchall/RK=2/RS=96w5G4E76U9kk_.lpRxltK.74pc-,India's TCS to take $125 million hit to Q3 earnings over US lawsuit,1 year ago · ,Reuters ·  via Yahoo Finance
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJvL3QtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-224820000.html%3ffr%3dsycsrp_catchall/RK=2/RS=H1fhaef5xWigcGj0cP_kyG91FaY-,Mama & Tata Influencer Candice Miller Saddled with Husband’s $33.6 Million Debt...,1 month ago · ,People ·  via Yahoo News
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJvr3QtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2freal-estate-mogul-husband-mama-191725327.html%3ffr%3dsycsrp_catchall/RK=2/RS=UjnImzE9Kp.ORyJI99gdVq_TYV0-,"Real estate mogul, husband of Mama + Tata influencer dead at 43",7 months ago · ,NY Post ·  via Yahoo News
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJwL3QtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2fwww.aol.com%2fmama-tata-influencer-candice-miller-170622813.html/RK=2/RS=WhYynlmpeG1jMEBuowHmZ5TH87s-,Mama & Tata Influencer Candice Miller Selling $15 Million Hamptons Home 1 Month...,6 months ago · ,People ·  via AOL
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJwr3QtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-162003406.html%3ffr%3dsycsrp_catchall/RK=2/RS=S.4PYtP.xnQX10Q8plDTlO43fDQ-,Hundreds of Items Auctioned Off from Former Home of Mama & Tata Influencer...,1 month ago · ,People ·  via Yahoo News
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJxL3QtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2ftcs-revamps-organization-structure-leverage-082432871.html%3ffr%3dsycsrp_catchall/RK=2/RS=Tc7v7jZWq8lZ1pDgvFtiQ0JD.cM-,TCS Revamps Organization Structure to Leverage Domain Knowledge,2 years ago · ,Bloomberg ·  via Yahoo Finance
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJxr3QtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2ftech%2feverything-apple-says-wrong-doj-180017657.html/RK=2/RS=yV3fEIBPlmUptzBBZ3xVQJAH4jI-,Everything Apple says is wrong about the DOJ’s iPhone lawsuit,10 months ago · ,Digital Trends ·  via Yahoo News
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJyL3QtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2finfluencer-candice-miller-selling-personal-181930540.html%3ffr%3dsycsrp_catchall/RK=2/RS=b6cMsBRRACcP3pBBpNxyitDqbAU-,Influencer Candice Miller selling personal items after late husband amassed...,1 month ago · ,The Independent ·  via Yahoo News
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJyr3QtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fchief-executives-air-india-akasa-075037899.html%3ffr%3dsycsrp_catchall/RK=2/RS=kPpnGt4387ul0lTHcDBrRn3cfnI-,"Chief executives of Air India, Akasa joust over poaching of pilots",1 year ago · ,Reuters ·  via Yahoo Finance
TATA Lawsuits,Yahoo,https://r.search.yahoo.com/_ylt=AwrO6Yo0BaVnhKcJzL3QtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1738896820/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fcandice-miller-sued-195-000-190400708.html%3ffr%3dsycsrp_catchall/RK=2/RS=kVKjSp5ux7aYdSCBHsvY05KxSgA-,"Candice Miller Sued $195,000 for Unpaid Rent After Husband’s Death",5 months ago · ,E! News ·  via Yahoo News
